"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Dominican Republic","DOM","Population (Total)","SP.POP.TOTL","3424702","3540319","3658264","3778110","3899504","4022212","4146104","4271065","4397027","4523917","4651703","4780283","4909454","5038976","5168720","5298530","5428547","5559298","5691517","5825715","5962066","6100385","6240380","6381602","6523696","6666429","6809797","6953918","7099011","7245127","7392389","7540421","7688196","7834359","7977966","8118570","8256496","8392534","8527881","8663421","8799298","8935261","9071318","9207389","9343362","9479269","9615015","9750195","9884265","10016797","10147598","10276621","",
"Algeria","DZA","Population (Total)","SP.POP.TOTL","11560650","11844928","12136371","12443175","12771084","13122912","13496577","13887045","14286826","14690855","15098212","15511892","15935594","16374671","16833516","17311457","17808536","18330535","18884689","19475204","20103931","20766568","21453278","22150483","22847437","23539383","24225748","24904931","25576596","26239708","26893663","27535151","28157560","28752749","29315463","29845208","30345466","30820435","31276295","31719449","32150198","32572977","33003442","33461345","33960903","34507214","35097043","35725377","36383302","37062820","37762962","38481705","",
"East Asia & Pacific (developing only)","EAP","Population (Total)","SP.POP.TOTL","896465279.2","907903932.2","930629910.2","953006846.2","976412684","1003418390.2","1029559440.2","1056709187.2","1085609220.2","1115469821","1146027153.2","1174898238.2","1202856427.2","1229315586.2","1253342593","1275500209.2","1296049925.2","1316550048.2","1337332928.2","1357754545","1378781636.49274","1402088850.34049","1425509844.82692","1447908739.43183","1471141187","1496093664","1522646931","1549509862","1575702423","1601020882","1625235374","1647886497","1669711213","1691423121","1712777280","1733834980","1754731205","1774962184","1794094115","1812175348","1829456590","1845962610","1861857314","1877361349","1892685072","1907505424","1921755956","1935836768","1949763154","1963596193","1977493244","1991619000","",
"East Asia & Pacific (all income levels)","EAS","Population (Total)","SP.POP.TOTL","1046430695.79981","1060406792.24979","1085665565.89986","1110581731.09995","1136557834","1165959712.30005","1194458711.50014","1223369302.15021","1255811893.60019","1288295816","1321819806.76394","1353584925.63808","1383824237.95812","1413868967.73705","1441045808.24707","1465197566.06329","1488013252.23964","1510712346.9052","1533816594.48248","1556438957.97973","1579767692.38732","1605307402.98662","1630797559.46445","1655068617.85318","1680027479.67321","1706673377","1734838505","1763266671","1791060250","1817972570","1843732849","1867761249","1890902591","1914067992","1937308022","1960043512","1982354361","2003879137","2024110756","2043379445","2061910538","2079495601","2096269193","2112498840","2128481539","2144169238","2159386780","2174556066","2189277520","2203795204","2218945697","2233747260","",
"Europe & Central Asia (developing only)","ECA","Population (Total)","SP.POP.TOTL","168457820","171465406","174461869","177414817","180260125","183093613","185971731","188750636","191480815","194109693","196916254","199911787","202754550","205621849","208498528","211295378.463461","214012164.266163","216665821.895867","219277393","221976525.247205","224788167.420703","227471108.303083","230168059.940419","232880236.645317","235583477","238285094.194911","241004057.397117","243687206.88921","246039622","247831602","249441525.738648","250885962.253936","252162420.479299","252866391.47335","253327081.585378","253917840.442962","254584922.811401","255142484.255141","255691155.845574","256501010.642516","256896643.577907","257295085","258166388","259168754","260294381","261514466","262818909","264340836","266258879","268291639","270227513","272058887","",
"Europe & Central Asia (all income levels)","ECS","Population (Total)","SP.POP.TOTL","675222434.946964","683223363.353949","691278559.351877","699228206.938649","706904552","713572922.949974","720017612.783168","726187082.074013","732245067.531511","737670480","743289529.334581","749620845.070893","755666518.068296","761520605.329222","767198770","772746024.981326","778075482.494663","783448373.13767","788705860","794109013.247205","799479113.420703","804279599.303083","808895363.940419","813715655.645317","818641919","823640989.194911","828675389.397117","833762701.88921","838749353","842983500","846360503.738648","849719711.253936","852641986.479299","854431024.47335","855815447.585378","856858185.442962","858100918.811401","859062701.255141","860193627.845574","862142701.642516","863704212.913035","865488149.295609","867974798.748596","870683193.208616","873521085","876370019","879744081","883561578","887382543","891563968","895557470","899507888","",
"Ecuador","ECU","Population (Total)","SP.POP.TOTL","4644682","4779559","4919224","5063645","5212760","5366554","5524930","5687634","5854337","6024764","6198787","6376333","6557257","6741417","6928694","7119087","7312553","7508899","7707895","7909432","8113200","8319351","8528791","8742761","8962049","9186995","9417031","9650906","9886866","10123593","10360630","10598168","10836327","11075454","11315800","11557151","11799289","12042454","12286995","12533087","12780869","13030041","13279806","13529091","13777131","14023503","14268397","14512402","14756424","15001072","15246481","15492264","",
"Egypt, Arab Rep.","EGY","Population (Total)","SP.POP.TOTL","28785879","29590639","30409962","31241836","32083955","32937066","33798820","34660399","35510567","36342268","37152209","37945429","38733784","39533995","40359038","41212513","42093668","43005773","43951351","44931971","45945655","46991385","48071851","49190419","50346551","51545011","52776850","54011214","55207254","56336614","57387589","58370712","59307778","60231864","61168397","62123592","63094069","64084443","65097777","66136590","67204189","68302914","69432477","70591288","71777678","72990754","74229577","75491922","76775023","78075705","79392466","80721874","",
"Euro area","EMU","Population (Total)","SP.POP.TOTL","262703111","265154479","267662405","270118052","272537520","274774197","276683083","278466300","280288530","281780267","283283886","285147205","286927470","288543865","290040279","291361489","292558392","293863231","295058257","296270341","297447678","298240504","298833295","299323304","299874086","300591867","301371569","302333622","303623501","305018323","306261760","307737616","309046132","309979222","310798521","311618328","312367115","313046152","313933963","315149029","316606663","318369516","320360063","322426290","324371720","326143662","327997361","329706478","330912588","331891304","332896595","333791352","",
"Eritrea","ERI","Population (Total)","SP.POP.TOTL","1438217","1472966","1508999","1546225","1584606","1624256","1665301","1707748","1751590","1796912","1843624","1891998","1942922","1997553","2056693","2120634","2189070","2261435","2336862","2414647","2493745","2573931","2656189","2742004","2831894","2928032","3028719","3126100","3209606","3272563","3311719","3331918","3344626","3365933","3407812","3473399","3560353","3668350","3795384","3939348","4101609","4281576","4472533","4665522","4854066","5035036","5209846","5382163","5557889","5741159","5932852","6130922","",
"Spain","ESP","Population (Total)","SP.POP.TOTL","30739250","31023366","31296651","31609195","31954292","32283194","32682947","33113134","33441054","33814531","34191678","34502705","34817071","35154338","35530725","35939437","36370050","36872506","37201123","37439035","37740556","37942805","38122429","38278575","38418817","38535617","38630820","38715849","38791473","38850435","38939049","39067745","39189400","39294967","39387017","39478186","39582413","39721108","39926268","40263216","40720484","41313973","42004522","42691689","43398143","44116441","44878945","45555716","45908594","46070971","46174601","46217961","",
"Estonia","EST","Population (Total)","SP.POP.TOTL","1230050","1245700","1261350","1277000","1291050","1304650","1319350","1334050","1348740","1362295","1376955","1392518","1405951","1418169","1429352","1439576","1450211","1460188","1468333","1477219","1487666","1498414","1508745","1518617","1528781","1540190","1552221","1561900","1568131","1569174","1561314","1533091","1494128","1462514","1436634","1415594","1399535","1386156","1375654","1369515","1364101","1358644","1353557","1349290","1346097","1343547","1341672","1340675","1340271","1340161","1339928","1339396","",
"Ethiopia","ETH","Population (Total)","SP.POP.TOTL","22671134","23221344","23798397","24396981","25013551","25641137","26280676","26945326","27653511","28414999","29246389","30135531","31029594","31856458","32569908","33145955","33615472","34054601","34570544","35241209","36094424","37110033","38259330","39493610","40777189","42100969","43477401","44916621","46435325","48042755","49743883","51525658","53357867","55199953","57023519","58815116","60584273","62353942","64158887","66024199","67956866","69948344","71989666","74066147","76167240","78290649","80440708","82621190","84838032","87095281","89393063","91728849","",
"European Union","EUU","Population (Total)","SP.POP.TOTL","412861039","416545224","420289120","423987536","427510791","430786342","433915714","436817875","439614622","441925181","444207813","446969390","449586596","452041423","454418829","456589141","458548067","460531033","462350620","464224671","466001262","467304165","468413331","469468913","470616537","471910782","473230290","474708795","476286726","477844921","478884738","480328486","481942217","483053174","484002574","484674864","485505433","486137390","487129147","488101982","489070064","490509330","492601726","494851055","497064456","499147558","501398395","503596766","505295478","506707706","507772941","509036794","",
"Finland","FIN","Population (Total)","SP.POP.TOTL","4461005","4491443","4523309","4548543","4563732","4580869","4605744","4626469","4623785","4606307","4612124","4639657","4666081","4690574","4711440","4725664","4738902","4752528","4764690","4779535","4799964","4826933","4855787","4881803","4902206","4918154","4932123","4946481","4964371","4986431","5013740","5041992","5066447","5088333","5107790","5124573","5139835","5153498","5165474","5176209","5188008","5200598","5213014","5228172","5246096","5266268","5288720","5313399","5338871","5363352","5388272","5414293","",
"Fiji","FJI","Population (Total)","SP.POP.TOTL","407152","421576","436208","450452","463884","476329","487911","498887","509659","520529","531601","542811","554109","565386","576592","587522","598256","609344","621537","635256","650966","668219","685422","700394","711663","718493","721594","722707","724355","728339","735209","744340","754923","765664","775587","784647","793098","800616","806857","811647","814700","816237","817224","818995","822484","828060","835392","843851","852479","860559","867921","874742","",
"France","FRA","Population (Total)","SP.POP.TOTL","47293811","47990159","48697015","49361165","49945471","50430631","50829214","51175036","51518731","51895793","52320049","52776806","53239101","53666947","54033095","54328016","54565943","54772084","54982879","55224670","55505282","55816654","56149874","56489874","56825158","57155165","57482783","57803824","58113622","58409202","58557072","58849212","59105073","59325793","59540711","59752020","59963792","60185178","60495470","60911057","61355725","61803229","62242474","62702121","63176246","63617975","64012572","64371099","64702921","65031235","65371613","65696689","",
"Faeroe Islands","FRO","Population (Total)","SP.POP.TOTL","34730","35153","35550","35946","36363","36804","37258","37718","38164","38587","38983","39360","39731","40116","40529","40974","41447","41946","42468","43010","43559","44105","44661","45239","45840","46501","47194","47789","48105","48031","47496","46580","45512","44609","44099","44058","44413","45050","45788","46491","47135","47751","48308","48782","49157","49414","49554","49601","49600","49581","49551","49506","",
"Micronesia, Fed. Sts.","FSM","Population (Total)","SP.POP.TOTL","45956","47387","48875","50483","52238","54201","56324","58404","60167","61433","62107","62298","62289","62477","63146","64386","66110","68221","70550","72967","75462","78057","80678","83242","85689","87948","90024","92020","94091","96331","98800","101412","103937","106057","107556","108342","108506","108236","107808","107430","107170","106983","106816","106575","106198","105686","105097","104498","103983","103619","103424","103395","",
"Gabon","GAB","Population (Total)","SP.POP.TOTL","503762","509348","515762","523236","531901","541895","553098","565080","577241","589165","600692","611990","623375","635318","648174","662036","676829","692535","709092","726454","744624","763639","783527","804319","826025","848654","872158","896429","921314","946703","972539","998823","1025559","1052772","1080477","1108698","1137412","1166525","1195919","1225527","1255299","1285318","1315820","1347125","1379465","1412907","1447388","1482843","1519155","1556222","1594034","1632572","",
"United Kingdom","GBR","Population (Total)","SP.POP.TOTL","52800000","53250000","53650000","54000000","54348050","54648500","54943600","55211700","55441750","55663250","55896223","56086065","56194527","56229974","56225800","56211968","56193492","56196504","56246951","56314216","56333829","56313641","56332848","56422072","56550268","56681396","56802050","56928327","57076711","57247586","57424897","57580402","57718614","57865745","58019030","58166950","58316954","58487141","58682466","58892514","59107960","59325809","59566259","59867866","60224307","60595632","60986649","61393521","61811027","62271177","62752472","63227526","",
"Georgia","GEO","Population (Total)","SP.POP.TOTL","3703600","3760300","3816100","3870300","3921600","3966700","4005800","4042300","4080300","3967800","4009400","4205300","4242500","4279500","4311200","4342400","4372100","4397700","4430200","4467700","4504500","4542800","4582900","4622200","4662900","4704500","4743500","4790700","4803300","4802000","4835900","4873500","4911100","4861600","4734000","4616100","4531600","4487300","4452500","4418300","4386400","4357000","4328900","4318300","4361400","4398000","4388400","4383800","4410900","4452800","4483400","4511800","",
"Ghana","GHA","Population (Total)","SP.POP.TOTL","6866780","7085698","7303664","7513510","7710761","7891194","8057629","8221194","8397508","8597133","8827429","9083737","9350286","9604475","9831636","10023738","10190202","10354855","10551189","10802497","11118132","11488683","11895742","12311805","12716887","13104616","13480997","13853171","14233006","14628693","15043053","15471695","15907265","16339278","16760926","17169151","17568461","17968830","18384302","18825034","19293392","19786307","20301686","20835514","21384034","21947779","22525659","23110139","23691533","24262901","24820706","25366462","",
"Guinea","GIN","Population (Total)","SP.POP.TOTL","3632778","3689661","3748272","3809929","3875205","3944983","4017946","4089829","4154897","4209201","4252126","4285526","4311157","4331801","4350256","4366830","4383225","4405432","4440982","4495479","4573076","4673637","4793275","4925668","5067026","5211764","5363069","5535918","5750861","6020113","6351760","6734242","7136110","7514053","7837173","8094751","8296478","8457221","8600911","8746128","8895353","9045748","9204581","9379621","9576331","9798963","10046967","10314678","10593248","10876033","11161530","11451273","",
"Gambia, The","GMB","Population (Total)","SP.POP.TOTL","376736","383525","389070","394552","400865","408182","416342","425509","435800","447283","460193","474538","489860","505512","521070","536409","551823","567828","585155","604371","625413","648202","673230","701097","732092","766598","804134","843060","881146","916811","949479","979666","1008242","1036580","1065746","1095930","1126986","1159271","1193143","1228863","1266691","1306667","1348548","1391934","1436549","1482324","1529406","1577984","1628332","1680640","1734966","1791225","",
"Guinea-Bissau","GNB","Population (Total)","SP.POP.TOTL","642182","647572","652180","656056","659368","661811","663719","666641","672620","682966","698632","718837","741030","761613","778096","789452","796727","802025","808460","818280","832141","849298","868908","889592","910336","930962","951816","973017","994816","1017385","1040717","1064691","1089235","1114249","1139667","1165465","1191672","1218336","1245530","1273312","1301748","1330849","1360559","1390791","1421515","1452659","1484337","1516920","1550905","1586624","1624228","1663558","",
"Equatorial Guinea","GNQ","Population (Total)","SP.POP.TOTL","255100","257940","260990","264743","269427","275470","282444","288702","292014","290905","284911","274892","262376","249567","238237","228527","220438","215403","215109","220589","232708","250776","272313","293825","312772","328255","340942","351776","362355","373851","386418","399625","413387","427503","441829","456389","471288","486542","502169","518179","534592","551399","568552","585983","603648","621517","639618","658025","676851","696167","715996","736296","",
"Greece","GRC","Population (Total)","SP.POP.TOTL","8398050","8448233","8479625","8510429","8550333","8613651","8684088","8740765","8772764","8792806","8831036","8888628","8929086","8962022","9046541","9188150","9308479","9429959","9548258","9642505","9729350","9789513","9846627","9895801","9934300","9967213","10000595","10036983","10089498","10156902","10256292","10369866","10465528","10553035","10634385","10709173","10776504","10834880","10882580","10917482","10949957","10987543","11023514","11061701","11103965","11148460","11192763","11237094","11282760","11307502","11299976","11280167","",
"Grenada","GRD","Population (Total)","SP.POP.TOTL","91260","92424","93354","94066","94579","94878","94962","94875","94682","94430","94180","93937","93629","93151","92453","91435","90187","89070","88571","89004","90575","93091","95981","98440","99907","100146","99381","98063","96871","96286","96455","97201","98302","99403","100253","100796","101125","101302","101441","101620","101849","102099","102369","102655","102951","103260","103586","103932","104296","104677","105074","105483","",
"Greenland","GRL","Population (Total)","SP.POP.TOTL","33700","35000","36400","37600","39200","40500","41900","43400","44900","46400","47200","48300","49000","49500","49600","49700","49400","49200","49600","50200","51000","51500","52100","52700","53200","53500","54100","54800","55300","55600","55500","55300","55200","55500","55800","55900","56000","56100","56100","56200","56350","56609","56765","56911","56935","56774","56555","56328","56323","56905","56905","56840","",
"Guatemala","GTM","Population (Total)","SP.POP.TOTL","4253298","4369153","4488229","4610494","4735961","4864495","4996199","5131566","5271250","5415616","5565101","5719315","5876798","6035549","6194218","6352074","6509758","6668975","6832183","7001101","7176504","7357730","7543343","7731210","7919874","8108903","8299070","8491594","8688240","8890329","9098613","9312915","9532550","9756398","9983861","10214623","10449636","10691090","10941913","11204183","11478984","11765738","12062835","12367800","12678919","12995374","13317931","13648307","13988988","14341576","14706578","15082831","",
"Guam","GUM","Population (Total)","SP.POP.TOTL","68073","69607","71289","73048","74827","76611","78409","80219","82042","83880","85728","87585","89463","91381","93354","95386","97476","99628","101846","104131","106486","108911","111405","113961","116576","119232","121924","124677","127525","130482","133553","136696","139820","142806","145562","148060","150306","152275","153951","155328","156417","157241","157823","158194","158401","158429","158331","158310","158621","159440","160858","162810","",
"Guyana","GUY","Population (Total)","SP.POP.TOTL","575976","591665","607528","623794","640541","657975","675811","693051","708356","720816","729872","735896","740041","743984","748877","755241","762549","769637","774818","776927","775662","771596","765512","758580","751720","745133","738779","733057","728382","725043","723259","723008","724014","725839","728136","730865","734059","737526","741046","744471","747657","750629","753612","756939","760834","765367","770407","775739","781055","786126","790882","795369","",
"High income","HIC","Population (Total)","SP.POP.TOTL","881126181.146776","892486026.003738","903770614.651736","914966625.438602","925768555","935227184.250021","944311607.683309","952381094.024224","962140266.331699","970929964","980381025.465576","989958812.302735","998695453.935059","1008493314.3422","1017899714.24707","1025960449.78116","1034308508.86814","1042857468.747","1051657720.28248","1060233159.97973","1068875653.89458","1077020602.44612","1084715751.23754","1092284614.82136","1099888013.67321","1107634941.6","1115325928.6","1123078879.6","1131302956.6","1139753741","1148093451.96373","1154501979.35751","1162362646.36054","1169498321.40413","1178312274","1184795575","1191244740","1197471142","1203619243","1210554698","1217501545.33513","1224473497.29561","1231495525.7486","1238818966.20862","1246209623","1253937627","1262381292","1271253377","1279252382","1287079255","1294881606","1302107523","",
"Hong Kong SAR, China","HKG","Population (Total)","SP.POP.TOTL","3168100","3305200","3420900","3504600","3597900","3629900","3722800","3802700","3863900","3959000","4045300","4123600","4241600","4334200","4461600","4518000","4583700","4667500","4929700","5063100","5183400","5264500","5345100","5397900","5456200","5524600","5590500","5627600","5686200","5704500","5752000","5800500","5901000","6035400","6156100","6435500","6489300","6543700","6606500","6665000","6714300","6744100","6730800","6783500","6813200","6857100","6916300","6957800","6972800","7024200","7071600","7154600","",
"Honduras","HND","Population (Total)","SP.POP.TOTL","2069085","2139208","2211144","2282764","2352637","2420234","2486288","2552200","2620014","2691309","2766445","2845261","2928191","3015607","3107735","3204880","3306985","3413422","3523279","3635862","3750850","3868314","3988404","4111424","4237518","4366493","4497954","4631575","4766961","4903694","5041781","5180884","5319841","5457189","5591935","5723639","5852719","5980152","6107385","6235561","6365040","6495801","6628171","6762426","6898825","7037428","7178436","7322368","7469844","7621204","7776669","7935846","",
"Heavily indebted poor countries (HIPC)","HPC","Population (Total)","SP.POP.TOTL","165643238","169639108","173793261","178116476","182616997","187296811","192155646","197196292","202421094","207830484","213426886","219206856","225157409","231261050","237504871","243897183","250443223","257125186","263919979","270819190","277825303","284970017","292312262","299929313","307886054","316179453","324819490","333895801","343518651","353752550","364662381","376193128","388141759","400226316","412249884","424133457","435952203","447852845","460056745","472726491","485905201","499547326","513621158","528066010","542837993","557936978","573385048","589184942","605342064","621860240","638737676","655971763","",
"Croatia","HRV","Population (Total)","SP.POP.TOTL","4171672","4202104","4231408","4259680","4287000","4313000","4339000","4364000","4387000","4411000","4435000","4457000","4478000","4497000","4514000","4530000","4532000","4556000","4571000","4588000","4608000","4635000","4659000","4680000","4701000","4722000","4740000","4757000","4767000","4780000","4510000","4470000","4640000","4650000","4669000","4494000","4572000","4501000","4554000","4426000","4440000","4440000","4440000","4439000","4442000","4440000","4436000","4434000","4429000","4417800","4280600","4267000","",
"Haiti","HTI","Population (Total)","SP.POP.TOTL","3946666","4026076","4107392","4190472","4275135","4361648","4449858","4538688","4626727","4713134","4797534","4880740","4964593","5051633","5143815","5241510","5344538","5453582","5569289","5691941","5821974","5958870","6100718","6244898","6389424","6533556","6677487","6821300","6965413","7110116","7255042","7399862","7544982","7691001","7838241","7986858","8136372","8285690","8433339","8578234","8720247","8859635","8996229","9129933","9260879","9388642","9513714","9638255","9765153","9896400","10032864","10173775","",
"Hungary","HUN","Population (Total)","SP.POP.TOTL","10029321","10061734","10087947","10119835","10147935","10178653","10216604","10255815","10298723","10337910","10367537","10398489","10432055","10478720","10540525","10598677","10648031","10684822","10704152","10711122","10711848","10705535","10689463","10668095","10648713","10630564","10612741","10596487","10481719","10373988","10373400","10369341","10357523","10343355","10328965","10311238","10290486","10266570","10237530","10210971","10187576","10158608","10129552","10107146","10087065","10071370","10055780","10038188","10022650","10000023","9971727","9943755","",
"Indonesia","IDN","Population (Total)","SP.POP.TOTL","90860197","93101152","95420835","97828538","100329810","102924506","105605766","108364330","111187930","114066887","116996006","119974444","123002081","126080548","129210098","132385413","135601258","138857752","142156086","145494452","148872395","152280731","155698247","159097735","162458871","165772077","169039084","172265107","175460614","178633239","181786329","184916848","188019278","191085673","194112556","197097887","200050444","202990922","205946831","208938698","211970371","215038285","218145617","221293797","224480901","227709821","230972808","234243489","237486894","240676485","243801639","246864191","",
"Isle of Man","IMN","Population (Total)","SP.POP.TOTL","48353","48580","49089","49818","50713","51776","52995","54289","55554","56712","57711","58563","59326","60098","60941","61900","62934","63918","64680","65108","65128","64817","64404","64207","64446","65225","66449","67902","69265","70312","70963","71306","71486","71726","72181","72898","73814","74848","75875","76806","77616","78338","79001","79658","80345","81068","81812","82561","83293","83992","84654","85284","",
"India","IND","Population (Total)","SP.POP.TOTL","458626687","467962144","477615992","487607406","497952332","508656247","519722246","531160986","542983934","555199768","567805061","580798773","594192969","608002572","622232355","636883717","651935141","667339022","683032539","698965575","715105168","731443752","747986284","764749394","781736502","798941802","816328792","833833510","851374699","868890700","886348712","903749636","921107534","938452550","955804355","973147577","990460131","1007746556","1025014711","1042261758","1059500888","1076705723","1093786762","1110626108","1127143548","1143289350","1159095250","1174662334","1190138069","1205624648","1221156319","1236686732","",
"Not classified","INX","Population (Total)","SP.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Population (Total)","SP.POP.TOTL","2824400","2836050","2852650","2866550","2877300","2888800","2902450","2915550","2932650","2957250","2992050","3036850","3085950","3137500","3189550","3238050","3282200","3329100","3373750","3412800","3453000","3485800","3510600","3532423","3538082","3539690","3540057","3524949","3511009","3513974","3534235","3558430","3576261","3590386","3608841","3637510","3674171","3712696","3754786","3805174","3866243","3931947","3996521","4070262","4159914","4260341","4356931","4425683","4458942","4474356","4576748","4588798","",
"Iran, Islamic Rep.","IRN","Population (Total)","SP.POP.TOTL","22535672","23130085","23742324","24373188","25023580","25696631","26393889","27113136","27850926","28606584","29381955","30184173","31024743","31918360","32877678","33901414","34992483","36171889","37465764","38889520","40440041","42100410","43852710","45672219","47531740","49440637","51377914","53250434","54938264","56361868","57472293","58307457","58982430","59663107","60468352","61440887","62542531","63713397","64858754","65911052","66857624","67727274","68543171","69342126","70152384","70976584","71809219","72660887","73542954","74462314","75424285","76424443","",
"Iraq","IRQ","Population (Total)","SP.POP.TOTL","7475354","7674220","7888914","8122200","8375791","8651167","8947399","9260685","9585576","9917982","10255904","10599846","10951169","11312304","11684585","12068300","12461337","12859762","13258367","13653358","14045450","14435914","14822565","15202850","15576396","15941197","16301879","16672907","17073500","17517521","18009865","18547047","19123947","19731733","20363138","21017108","21693597","22387179","23091408","23801156","24516842","25238267","25959531","26673536","27377045","28064095","28740630","29429829","30163199","30962380","31760020","32578209","",
"Iceland","ISL","Population (Total)","SP.POP.TOTL","179029","182378","185653","188983","192286","195570","198751","201488","203369","204438","206098","209137","212317","215209","217979","220154","221799","223537","225735","228138","230755","233860","236977","239511","241405","243180","245859","249740","252852","254826","257797","261057","263725","266021","267468","268916","271128","274047","277381","281205","284968","287523","289521","292074","296734","303782","311566","317414","318499","318041","319014","320137","",
"Israel","ISR","Population (Total)","SP.POP.TOTL","2185000","2293000","2379000","2475000","2563000","2629000","2745000","2803000","2877000","2974000","3069000","3148000","3278000","3377000","3455000","3533000","3613000","3690000","3786000","3878000","3956000","4031000","4105000","4159000","4233000","4299000","4369000","4442000","4518000","4660000","4949000","5123000","5261000","5399000","5545000","5692000","5836000","5971000","6125000","6289000","6439000","6570000","6689700","6809000","6930100","7053700","7180100","7308800","7485600","7623600","7765900","7907900","",
"Italy","ITA","Population (Total)","SP.POP.TOTL","50536350","50879450","51252000","51675350","52112350","52519000","52900500","53235750","53537950","53821850","54073490","54381345","54751406","55110868","55441001","55718260","55955411","56155143","56317749","56433883","56501675","56543548","56564074","56576718","56593071","56596155","56601931","56629288","56671781","56719240","56758521","56797087","56831821","56843400","56844303","56860281","56890372","56906744","56916317","56942108","56977217","57157406","57604658","58175310","58607043","58941499","59375289","59832179","60192698","60483385","60723569","60917978","",
"Jamaica","JAM","Population (Total)","SP.POP.TOTL","1651915.2","1678467.2","1707019.2","1734763.2","1760000","1783124.8","1803891.2","1823705.6","1844936","1869000","1895628.96","1925162.4","1956079.84","1985852.48","2013000","2037715.84","2059399.04","2080307.04","2104140.64","2133000","2162300","2200100","2240800","2279900","2311100","2335800","2350600","2356400","2374900","2390000","2406041.9876587","2423043.60848551","2441023.64567244","2460002.05465619","2480000","2509923.42512675","2534068.67507572","2556780.0511581","2574289.36407701","2589388.55137656","2604788.61906298","2617495.22444646","2625700","2638100","2650400","2663100","2675800","2687200","2695600","2701200","2706500","2712100","",
"Jordan","JOR","Population (Total)","SP.POP.TOTL","891451.2","943089.6","999392","1060998.4","1128000","1200289.6","1278416","1358918.4","1436516.8","1508000","1573846.4","1633558.4","1689934.4","1747710.4","1810000","1876273.6","1946630.4","2021107.2","2099312","2181000","2267246.4","2359755.2","2455896","2551300.8","2644000","2744000","2846000","2948000","3056000","3170000","3545000","3733000","3906000","4061000","4195000","4325000","4459000","4597000","4681000","4797000","4917000","5038000","5164000","5290000","5411000","5536000","5661000","5786000","5915000","6046000","6181000","6318000","",
"Japan","JPN","Population (Total)","SP.POP.TOTL","94943000","95832000","96812000","97826000","98883000","99790000","100725000","101061000","103172000","104345000","105697000","107188000","108079000","110162000","111940000","112771000","113863000","114898000","115870000","116782000","117648000","118449000","119259000","120018000","120754000","121492000","122091000","122613000","123116000","123537000","123921000","124229000","124536000","124961000","125439000","125761000","126091000","126410000","126650000","126870000","127149000","127445000","127718000","127761000","127773000","127756000","127770750","127704040","127557958","127450459","127817277","127561489","",
"Kazakhstan","KAZ","Population (Total)","SP.POP.TOTL","10411040","10819503","11211938","11577537","11909001","12200891","12455366","12682452","12897025","13109992","13325342","13540301","13751019","13950987","14136006","14281735.4634611","14428967.2661629","14577716.895867","14728000","14898332.2472053","15070634.4207033","15244929.303083","15421239.9404188","15599589.6453172","15780002","15896089.1949111","16013030.3971172","16130831.8892101","16249500","16348000","16450500","16439095.1712678","16330419.0041162","16095198.9372608","15815626.3821576","15577894.256927","15333703.0400357","15071300.1250722","14928425.8540544","14883626","14858335","14858948","14909019","15012984","15147029","15308085","15484192","15673999","16093481","16323287","16558676","16797459","",
"Kenya","KEN","Population (Total)","SP.POP.TOTL","8361442","8628973","8908425","9200158","9504702","9822505","10154489","10502250","10867717","11252466","11657477","12083159","12529800","12997438","13486241","13995996","14527242","15081677","15661480","16267906","16901167","17559844","18241424","18942464","19660018","20392312","21138372","21896890","22666720","23446439","24237056","25036941","25839132","26634659","27418077","28186224","28943647","29702246","30478597","31285050","32126351","33000524","33905011","34834606","35785718","36757498","37752304","38773277","39824734","40909194","42027891","43178141","",
"Kyrgyz Republic","KGZ","Population (Total)","SP.POP.TOTL","2255900","2333400","2413700","2495300","2573300","2655300","2736500","2818300","2894800","2959900","3022300","3088200","3153800","3223900","3292400","3358700","3423900","3487100","3552000","3617400","3685800","3759300","3838300","3916400","3990300","4066500","4144600","4218400","4307500","4391200","4463600","4515400","4516700","4515100","4560400","4628400","4696400","4769000","4840400","4898400","4945100","4990700","5043300","5104700","5162600","5218400","5268400","5318700","5383300","5447900","5514600","5582100","",
"Cambodia","KHM","Population (Total)","SP.POP.TOTL","5869843","6024281","6178752","6327099","6464999","6586874","6693369","6793560","6900525","7021559","7168725","7334436","7483408","7567314","7555928","7430726","7214262","6967562","6775751","6699273","6761653","6943097","7207649","7499331","7777235","8030211","8271042","8510817","8768664","9057339","9378185","9721775","10077404","10430268","10769198","11090611","11395958","11685332","11960467","12222871","12472586","12709336","12934369","13149386","13356424","13555054","13747288","13940518","14144225","14364931","14605862","14864646","",
