"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Azerbaijan","AZE","Population (Total)","SP.POP.TOTL","4030130","4167558","4307315","4445653","4579759","4708485","4832098","4950977","5066080","5178160","5287272","5393176","5496061","5596160","5693796","5789050","5882395","5975045","6068531","6163990","6261942","6362289","6464775","6568857","6674107","6779970","6886428","6994139","7104058","7159000","7271000","7382000","7495000","7597000","7685000","7763000","7838250","7913000","7982750","8048600","8111200","8171950","8234100","8306500","8391850","8484550","8581300","8763400","8947243","9054332","9173082","9297507","",
"Burundi","BDI","Population (Total)","SP.POP.TOTL","2840375","2894510","2950903","3011957","3079034","3153879","3235125","3317315","3392949","3457113","3507593","3547335","3582950","3623852","3676991","3744678","3825426","3917774","4018846","4126538","4239795","4359379","4486938","4624850","4774155","4935642","5106707","5280833","5449339","5605873","5749774","5882679","6003704","6112449","6209923","6294482","6369573","6447672","6545273","6674286","6839376","7037727","7264340","7510771","7770392","8042579","8328312","8624280","8926687","9232753","9540362","9849569","",
"Belgium","BEL","Population (Total)","SP.POP.TOTL","9183948","9220578","9289770","9378113","9463667","9527807","9580991","9618756","9646032","9655549","9673162","9711115","9741720","9772419","9800700","9818227","9830358","9839534","9848382","9859242","9858982","9856303","9855520","9855372","9858308","9861823","9870234","9901664","9937697","9967379","10004486","10045158","10084475","10115603","10136811","10156637","10181245","10203008","10226419","10251250","10286570","10332785","10376133","10421137","10478617","10547958","10625700","10709973","10796493","10895586","11047744","11142157","",
"Benin","BEN","Population (Total)","SP.POP.TOTL","2466002","2503232","2543335","2586362","2632360","2681382","2733450","2788551","2846652","2907769","2971941","3039300","3110074","3184547","3262959","3345501","3432262","3523270","3618509","3718024","3822206","3931355","4045352","4163968","4287263","4414450","4546136","4685375","4836240","5001271","5182525","5378226","5582420","5786794","5985658","6176318","6361301","6546493","6740491","6949366","7174911","7414744","7665681","7922796","8182362","8443671","8707490","8973293","9240783","9509798","9779795","10050702","",
"Burkina Faso","BFA","Population (Total)","SP.POP.TOTL","4894578","4960325","5027818","5098892","5174869","5256363","5343020","5434040","5528172","5624597","5723379","5825171","5930487","6040044","6154548","6274037","6398937","6530820","6671659","6822840","6985158","7158256","7340907","7531244","7727912","7930690","8140076","8356306","8579825","8811033","9050090","9297116","9552473","9816586","10089876","10372562","10664982","10967836","11281942","11607944","11946080","12296399","12659086","13034258","13421929","13822257","14235075","14659646","15094967","15540284","15995313","16460141","",
"Bangladesh","BGD","Population (Total)","SP.POP.TOTL","50953503","52403243","53909233","55503132","57200412","59029826","60966588","62909226","64719958","66308862","67627868","68730070","69751017","70883201","72265173","73944664","75880084","78011624","80241773","82498440","84764142","87060582","89399666","91804318","94287722","96851505","99476987","102133217","104779345","107385847","109934590","112430968","114897543","117369492","119869585","122400896","124945315","127478524","129966823","132383265","134729503","137006279","139185986","141235035","143135180","144868702","146457067","147969967","149503100","151125475","152862431","154695368","",
"Bulgaria","BGR","Population (Total)","SP.POP.TOTL","7943118","8012946","8078145","8144340","8204168","8258057","8310226","8369603","8434172","8489574","8536395","8576200","8620967","8678745","8720742","8758599","8804183","8814032","8825940","8861535","8891117","8917457","8939738","8960679","8960547","8958171","8971359","8981446","8876972","8718289","8632367","8540164","8472313","8443591","8406067","8362826","8312068","8256786","8210624","8170172","8020282","7868468","7823557","7781161","7739900","7699020","7659764","7623395","7585131","7534289","7348328","7304632","",
"Bahrain","BHR","Population (Total)","SP.POP.TOTL","167924","173107","178048","182774","187348","191782","196203","200953","206469","213102","220808","229588","239860","252139","266686","283843","303236","323511","342829","359902","374125","385950","396447","407223","419425","433491","449006","465254","481142","495944","509645","522751","535711","549170","563730","579697","597400","617537","640913","668239","698749","732541","772058","820505","879534","950951","1032353","1116038","1191539","1251513","1292764","1317827","",
"Bahamas, The","BHS","Population (Total)","SP.POP.TOTL","115108","121083","127331","133697","140049","146364","152607","158629","164250","169356","173867","177844","181489","185097","188882","192905","197118","201511","206038","210660","215404","220274","225184","230014","234684","239135","243397","247585","251863","256338","261102","266097","271105","275820","280050","283678","286845","289926","293442","297759","303005","309039","315624","322400","329088","335622","342049","348340","354492","360498","366331","371960","",
"Bosnia and Herzegovina","BIH","Population (Total)","SP.POP.TOTL","3358202","3409319","3458189","3503878","3545862","3583750","3618161","3650807","3684024","3719459","3757982","3799098","3841440","3882935","3922171","3958587","3992930","4026649","4061827","4099903","4138160","4175238","4215148","4263393","4321966","4399257","4489555","4564265","4584734","4526511","4373715","4143068","3882548","3659409","3520996","3485575","3535998","3640821","3752004","3834364","3879353","3897579","3895779","3886723","3879828","3875157","3868665","3861201","3853446","3845929","3839322","3833916","",
"Belarus","BLR","Population (Total)","SP.POP.TOTL","8271216","8351928","8437232","8524224","8610000","8696496","8785648","8874552","8960304","9040000","9115576","9188968","9257272","9317584","9367000","9411000","9463000","9525000","9584000","9643000","9710000","9776000","9843000","9910000","9975000","10043000","10111000","10140000","10170000","10189000","10194000","10216000","10239000","10227000","10194000","10160000","10117000","10069000","10035000","10005000","9928000","9865000","9797000","9730000","9663000","9604000","9560000","9528000","9507000","9490000","9473000","9464000","",
"Belize","BLZ","Population (Total)","SP.POP.TOTL","94701","97389","100166","103070","106121","109344","112699","116061","119260","122179","124792","127148","129294","131306","133261","135145","136991","138972","141308","144151","147566","151498","155820","160342","164916","169547","174250","178906","183368","187552","191368","194894","198420","202348","206962","212375","218484","225083","231860","238586","245198","251766","258346","265040","271920","278985","286196","293544","301016","308595","316280","324060","",
"Bermuda","BMU","Population (Total)","SP.POP.TOTL","45500","46600","47700","48900","50100","51000","52000","53000","54000","55000","54600","54200","53800","53400","53000","53200","53400","53600","53800","54670","55050","55449","55930","56423","56898","57382","57849","58347","58841","59326","59021","58595","58910","59320","59746","60129","60497","60943","61285","61833","62504","62912","63325","63740","64154","64523","64888","65273","65636","65124","64564","64806","",
"Bolivia","BOL","Population (Total)","SP.POP.TOTL","3428270","3505427","3584782","3666584","3751047","3838156","3927961","4020815","4117153","4217248","4321324","4429194","4540197","4653409","4768177","4884284","5001971","5121608","5243771","5368901","5497112","5628347","5762673","5900127","6040757","6184440","6331219","6481463","6635658","6794046","6956736","7123294","7292745","7463773","7635362","7806953","7978521","8150214","8322408","8495271","8669066","8843350","9016787","9187610","9354709","9517395","9676456","9834098","9993406","10156601","10324445","10496285","",
"Brazil","BRA","Population (Total)","SP.POP.TOTL","74988037","77286629","79643017","82017016","84379369","86721875","89052356","91377490","93709914","96060361","98427874","100812672","103228641","105693434","108219657","110808302","113455308","116160978","118924135","121740438","124610790","127525420","130455659","133364277","136223043","139023394","141767626","144452622","147078659","149648341","152153539","154597985","157011131","159432909","161890816","164392423","166925457","169472347","172006362","174504898","176968205","179393768","181752951","184010283","186142403","188134315","189996976","191765567","193490922","195210154","196935134","198656019","",
