Bundestagswahl 2013
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
9;Ostholstein - Stormarn-Nord;1;180022;179987;;;131939;131917;;;1551;4043;1452;3094;130388;127874;130487;128823;59783;49363;53705;42193;48349;43765;41134;36329;2962;14397;8036;22701;4469;8235;5663;9342;7145;10411;10490;13651;;;;;2060;;2111;2062;723;1270;737;1192;;;917;;;;;;;;;;;;;;;;;;;;489;1178;;;;;;;;;;;;;;;;;;;25;43;;;;;;;;;4897;;6471;;;;;;;;;;;;;;;;;;;;709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;433;;132;
10;Herzogtum Lauenburg - Stormarn-Süd;1;241257;237144;;;182982;181568;;;1708;3884;1560;3259;181274;177684;181422;178309;81954;70874;73603;59075;62749;53073;53944;45354;3901;19742;10878;30714;6834;12351;8962;13855;12774;18761;16579;22240;;;;;2908;;3031;3248;1356;2330;1377;2126;;;1385;;;;;;;;;;;;;;;;;;;;634;1445;;;;;;;;;;;;;;553;;;;;43;48;;;;;;;;;8351;;10210;;;;;;;;;;;;;;;;;;;;776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;447;;;204;
11;Lübeck;1;181923;180424;;;124711;124624;;;1563;3524;1440;3284;123148;121100;123271;121340;44896;36745;42218;32970;50119;44393;42083;36578;2958;13296;5857;17173;6662;10973;7970;12002;9475;14098;13638;16764;;;;;2825;;2994;3010;948;1595;974;1412;;;918;;;;;;;;;;;;;;;;;;;;422;1197;;;;;;;;;;;;;;;;;;;93;90;;;;;;;;;4152;;5323;;;;;;;;;;;;;;;;;;1113;;781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;
1;Schleswig-Holstein;99;2251796;2234720;;;1645750;1644384;;;18752;39494;17460;34882;1626998;1604890;1628290;1609502;708702;615798;638756;518457;596882;519995;513725;430739;37526;170070;91714;261767;66183;113319;84177;127203;111921;161626;153137;203782;;;;;31621;;32217;33277;11031;17139;11229;15848;;;12878;;;;;;;;;;;;;;;;;;920;;6843;16006;;;;;;;;;;;;;;553;;;;;521;616;;;;;;;;;58681;;74346;;;;;;;;;;;;;;;;;;2678;;8747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;853;6390;;1807;

18;Hamburg-Mitte;2;256862;249150;;;168465;164566;;;2445;2660;2252;2033;166020;161906;166213;162533;46753;43306;44947;38459;64997;56125;55721;45904;2878;12700;6458;18915;15693;21173;18124;22111;19943;26261;22645;26984;;;;;5733;;6442;6142;1245;2341;1257;1817;;;;;;;;;;;417;659;;;;;;;;;;;790;1171;;;;;;;;;;;;;;;;;;;92;128;;;;;;;;;5525;;7186;;;;;;;;;;;;;;;;;;700;;589;;;;;;;;;;1738;;1545;;;;;;;;;;;;;;;;;;815;;;243;
19;Hamburg-Altona;2;182776;178340;;;135857;133657;;;1454;1552;1393;1358;134403;132105;134464;132299;43609;39303;39581;34197;46918;47298;40009;33225;2627;10655;7353;17246;13759;13206;14525;16340;18380;18888;22167;25459;;;;;3005;;3630;3513;515;780;528;802;;;;;;;;;;709;334;563;;;;;;;;;;;420;762;;;;;;;;;;151;;;;;;;135;158;123;88;;;;;;;;;3094;;4321;;;;;;;;;;;;;;;;;;497;;384;;;;;;;;;;1359;;1089;;;;;;;;;;;;;;;;;;505;957;;104;
20;Hamburg-Eimsbüttel;2;189772;185790;;;143084;141650;;;1646;1881;1444;1290;141438;139769;141640;140360;47112;43661;43989;37644;53105;33272;44492;37645;3264;11712;7308;18823;9728;12484;12137;14653;18399;36381;22074;25703;;;;;3352;;3751;3523;548;967;551;797;;;;;;;;;;;293;426;;;;;;;;;;;525;932;;;;;;;;;;;;;;;;;;;56;70;;;;;;;;;4034;;5197;;;;;;;;;;;;;;;;;;427;;397;;;;;;;;;;;;870;;;;;;;;;;;;;;;;;;1469;1292;;144;
21;Hamburg-Nord;2;211824;207016;;;163950;163012;;;1666;1821;1512;1357;162284;161191;162438;161655;64459;61873;59244;50174;56421;53469;49039;40909;3921;12766;10242;25269;7626;10805;10615;13429;19343;21268;20357;26306;;;;;3559;;3638;3289;610;1010;588;794;;;;;;;;;;;297;411;;;;;;;;;;;585;876;;;;;;;;;;;;;;;;;;;39;46;;;;;;;;;5708;;6721;;;;;;;;;;;;;;;;;;637;;392;;;;;;;;;;;;681;;;;;;;;;;;;;;;;;;;;;152;
22;Hamburg-Wandsbek;2;218797;217147;;;147153;150049;;;1960;2126;1795;1686;145193;147923;145358;148363;54002;53958;50641;44770;58029;51460;50339;42705;2783;11408;6556;20181;9594;14021;11078;16205;9320;13914;12667;17518;;;;;3328;;3437;3158;1374;1972;1336;1674;;;;;;;;;;1190;229;527;;;;;;;;;;;793;1314;;;;;;;;;;;;;;;;;;;37;50;;;;;;;;;6026;;7093;;;;;;;;;;;;;;;;;;737;;560;;;;;;;;;;;;592;;;;;;;;;;;;;;;;;;;;;261;
23;Hamburg-Bergedorf - Harburg;2;221887;219191;;;142704;143119;;;2089;2355;1988;1991;140615;140764;140716;141128;50044;46303;47525;41423;56867;54965;49302;42554;2234;10727;4952;16709;10595;14430;11817;16358;9088;11728;12916;16484;;;;;3198;;3607;3543;1446;2111;1398;1795;;;;;;;;;637;;393;402;;;;;;;;;;;706;1517;;;;;;;;;;500;;;;;;;;;76;63;;;;;;;;;5448;;6624;;;;;;;;;;;;;;;;;;727;;534;;;;;;;;;;;;866;;;;;;;;;;;;;;;;;;331;;;280;
2;Hamburg;99;1281918;1256634;;;901213;896053;;;11260;12395;10384;9715;889953;883658;890829;886338;305979;288404;285927;246667;336337;296589;288902;242942;17707;69968;42869;117143;66995;86119;78296;99096;94473;128440;112826;138454;;;;;22175;;24505;23168;5738;9181;5658;7679;;;;;;;;;637;1899;1963;2988;;;;;;;;;;;3819;6572;;;;;;;;;;651;;;;;;;135;158;423;445;;;;;;;;;29835;;37142;;;;;;;;;;;;;;;;;;3725;;2856;;;;;;;;;;3097;;5643;;;;;;;;;;;;;;;;;;3120;2249;;1184;

24;Aurich - Emden;3;190987;189804;;;134256;132885;;;2217;2439;1724;2121;132039;130446;132532;130764;42737;33706;43026;32155;66348;57876;58080;50682;2085;9314;4323;13619;6373;13213;6588;14978;12627;14451;11028;13641;;;;;;;1900;2015;;1886;1259;1712;;;1065;1042;;;110;;;;;123;;;;;;;;642;;;;;;;;;;;160;;;;;;;;;;;;35;32;;;;;;;;;;;4136;;;;;;;;109;;;;;;;;;;1869;;713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;
25;Unterems;3;232784;231076;;;166959;164653;;;2096;2392;1645;2136;164863;162261;165314;162517;90236;73405;80616;63545;51409;47481;51079;44913;4288;15470;6537;20731;6426;12062;6771;14219;8441;11981;9506;12222;;;;;;;2218;2899;1656;1862;1339;1707;;;1070;1149;;;91;;;;;304;;;;;;;;648;;;;;;;;;;;281;;;;;;;;;;;;24;28;;;;;;;;;;;4870;;;;;;;;165;;;;;;;;;;1820;;747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;587;;;152;
26;Friesland - Wilhelmshaven - Wittmund;3;190034;190546;;;134162;132735;;;2369;2630;1760;1939;131793;130105;132402;130796;52275;42211;50796;38728;58178;51851;48011;40610;3024;12283;5670;19204;6736;12055;6814;13572;7362;9794;9731;12009;;;;;;;2007;2452;1680;1911;1206;1570;;;1194;1277;;;87;;;;;112;;;;;;;;1071;;;;;;;;;;;82;;;;;;;;;;;;70;85;;;;;;;;;;;5479;;;;;;;;149;;;;;;;;;;2538;;1106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106;
27;Oldenburg - Ammerland;3;220409;215591;;;163543;158347;;;1748;1891;1402;1490;161795;156456;162141;156857;59525;55610;57067;44090;60547;49020;52856;42551;3966;13840;8210;22917;8794;14080;10523;15244;18552;21651;20170;24171;;;;;2669;;2853;4000;1093;1548;1050;1345;;;1308;1349;;;54;;;;;192;;;;;;707;;821;;;;;;;;;;;132;;;;;;;;;;;;62;53;;;;;;;;;5502;;6833;;;;;;;;100;;;;;;;;;;1147;;923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;
28;Delmenhorst - Wesermarsch - Oldenburg-Land;3;227719;226440;;;162698;161584;;;2059;1970;1911;1821;160639;159614;160787;159763;63832;56273;62620;49810;63256;55374;54848;45895;5263;16163;8035;23109;7273;13751;8814;15906;9784;14446;13059;16731;;;;;2747;;2577;2879;1655;2346;1612;2009;;;1390;1519;;;97;;;;;179;;;;;238;1261;;1506;;;;;;;;;;;80;;;;;;;;;;;;41;49;;;;;;;;;5292;;6359;;;;;;;;183;;;;;;;;;;1299;;1072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171;
29;Cuxhaven - Stade II;3;187640;189058;;;137151;135824;;;1490;1902;1184;1575;135661;133922;135967;134249;63431;51654;59699;46707;49395;50481;45534;40643;1872;10426;4924;17146;4904;10307;6241;11920;8326;8379;9592;11885;;;;;2120;;1968;1938;1306;1828;1270;1567;;;1074;1072;;;43;;;;;173;;;;;273;;;945;;;;;;;;;;;101;;;;;;;;;;;;42;28;;;;;;;;;4034;;4753;;;;;;;;140;;;;;;;;;;;;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;847;;225;
30;Stade I - Rotenburg II;3;194958;192956;;;145131;142114;;;1161;1690;947;1424;143970;140424;144184;140690;68545;62035;64472;51303;49111;46851;44598;37784;2505;9946;6023;20056;4878;9096;6021;10541;9099;9409;11209;14253;;;;;1985;;2131;2503;1457;2349;1302;2061;;;979;999;;;54;;;;;170;;;;;;;;837;;;;;;;;;;;119;;;307;;;;;;;;;17;43;;;;;;;;;5632;;6531;;;;;;;;108;;;;;;;;;;758;;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;431;;140;
31;Mittelems;3;228051;226979;;;170444;169078;;;1571;1775;1206;1550;168873;167303;169238;167528;99705;91378;94923;79052;48903;43503;44069;39085;2673;13278;7032;23749;4543;8195;5107;9169;8393;9819;9160;11357;;;;;;;2456;2347;879;1130;790;1014;;;767;853;;;48;;;;;158;;;;;;;;642;;;;;;;;;;;114;;;;;;;;;;;;20;24;;;;;;;;;3777;;4331;;;;;;;;136;;;;;;;;;;;;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;
32;Cloppenburg - Vechta;3;216300;212449;;;153769;148935;;;1416;1708;1205;1425;152353;147227;152564;147510;101015;91686;96401;80355;32422;28053;30168;24358;2812;12700;7073;23001;3821;6927;4259;7518;5702;6575;6488;7827;;;;;;;1816;1953;870;1286;877;1132;;;681;766;;;51;;;;;108;1022;;;;;;;372;;;;;;;;;;;250;;;;;;;;;;;;21;35;;;;;;;;;3238;;3576;;;;;;;;104;;;;;;;;;;1451;;799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;
33;Diepholz - Nienburg I;3;193097;193411;;;142350;141838;;;1496;1646;1215;1315;140854;140192;141135;140523;66862;52599;61404;47565;47067;48313;44431;38955;2797;15928;6929;22067;4933;9775;6359;11701;10651;11917;11556;13999;;;;;2166;;2143;2435;1288;1660;1175;1442;;;1196;1059;;;102;;;;;143;;;;;;;;937;;;;;;;;;;;137;;;;;;;;;;;;21;27;;;;;;;;;3571;;4840;;;;;;;;169;;;;;;;;;;903;;673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;616;;;193;
34;Osterholz - Verden;3;193643;192320;;;144923;144883;;;1502;1642;1708;1337;143421;143241;143215;143546;63174;53080;57243;45908;53660;52397;47413;41979;1359;10787;5235;17889;7195;12242;8008;13830;9729;12318;13708;17053;;;;;2516;;2655;2339;1289;2417;1321;1981;;;1250;1228;;;90;;;;;152;;;;;;;;976;;;;;;;;;;;190;;;;;;;;;;;;58;24;;;;;;;;;4499;;5487;;;;;;;;165;;;;;;;;;;;;392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;
35;Rotenburg I - Heidekreis;3;167867;168573;;;122823;121941;;;1317;1702;994;1326;121506;120239;121829;120615;54448;48344;53163;42324;49301;42395;38018;33279;2097;9895;4930;16930;4758;8366;5572;9759;6026;9101;10332;12155;;;;;1875;;1722;2252;1617;2138;1275;1825;;;1028;1172;;;68;;;;;133;;;;;;;;597;;;;;;;;;;;174;;;;;;;;;;;;22;22;;;;;;;;;;;4586;;;;;;;;143;;;;;;;;;;1384;;796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;
36;Harburg;3;194856;191159;;;152819;148918;;;1416;1976;1219;1552;151403;146942;151600;147366;68458;59657;64905;50104;47908;45002;42915;36139;5110;15812;7382;24967;5472;9611;6641;10825;10754;13772;14078;18002;;;;;2376;;2499;2963;1112;1935;1193;1636;;;1366;1132;;;74;;;;;238;;;;;;1153;;1150;;;;;;;;;;;159;;;;;;;;;;;;33;33;;;;;;;;;8704;;9069;;;;;;;;141;;;;;;;;;;1509;;1145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;
37;Lüchow-Dannenberg - Lüneburg;3;179069;177098;;;133574;131466;;;1375;1695;1158;1366;132199;129771;132416;130100;52644;43229;48756;37291;44491;40411;38415;32321;2112;11242;5281;16323;7784;11935;9202;13166;15918;19645;18892;23543;;;;;2879;;3000;2795;1240;1860;1145;1594;;;1081;1002;;;47;;;;;194;;;;;;1449;;1704;;;;;;;;;206;;177;;;;;;;;;;;;30;32;;;;;;;;;4925;;5852;;;;;;;;136;;;;;;;;;;;;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;
38;Osnabrück-Land;3;197532;197143;;;144853;144630;;;1390;1706;1120;1353;143463;142924;143733;143277;76179;63175;68972;55599;46365;46028;42214;37936;2546;12940;6599;21117;5162;9006;5783;10211;8330;10393;11046;13227;;;;;2526;;2188;2268;1135;1382;968;1243;;;801;854;;;36;;;;;190;;;;;;;;486;;;;;;;;;404;;444;;;;;;;;;;;;23;26;;;;;;;;;;;4060;;;;;;;;121;;;;;;;;;;816;;478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
39;Stadt Osnabrück;3;194231;192473;;;142840;143711;;;1919;1584;1641;1370;140921;142127;141199;142341;64416;54522;60754;48398;49059;46979;43099;38000;3934;14823;5874;19941;5840;9918;7188;11878;12568;14282;15390;18463;;;;;3102;;2794;3168;884;945;652;848;;;815;880;;;49;;;;;216;;;;;;;;443;;;;;;;;;290;;226;;;;;;;;;;;;33;18;;;;;;;;;;;3765;;;;;;;;88;;;;;;;;;;828;;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;658;;88;
40;Nienburg II - Schaumburg;3;195948;198376;;;141773;143398;;;1464;1706;1156;1376;140309;141692;140617;142022;58349;52714;56279;45750;62641;58649;51043;46797;1950;8712;4993;17698;4649;8797;6006;10847;8173;10217;11370;13815;;;;;2693;;2108;2454;1854;2036;1216;1858;;;1129;1079;;;112;;;;;183;;;;;;;;1352;;;;;;;;;;;211;;;;;;;;;;;;41;42;;;;;;;;;;;5514;;;;;;;;159;;;;;;;;;;;;436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567;;147;
41;Stadt Hannover I;3;181122;180088;;;129867;131369;;;1888;1556;1868;1381;127979;129813;127999;129988;46650;42621;42910;34448;55711;50592;45441;40497;1889;9699;6043;16680;6435;10624;7993;12111;9876;13364;15718;19019;;;;;2434;;2434;3102;;1759;808;1681;;;988;1081;;;122;;;;;190;;;;;;978;;973;;;;;;;;;;;137;;;;;;;;;;143;176;78;88;;;;;;;;;4051;;4654;;;;;;;;168;;;;;;;;;;790;;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118;
42;Stadt Hannover II;3;193157;190623;;;141215;140587;;;1871;1655;1925;1392;139344;138932;139290;139195;47180;44534;41684;33872;59686;55068;48292;41482;2050;8657;5983;16098;8657;12886;11129;14786;14229;15797;21559;24705;;;;;2937;;3113;4368;803;1573;736;1411;;;1171;1106;;;80;;;;;221;;;;;;;;887;;;;;;;;;;;146;;;;;;;;;;;;95;137;;;;;;;;;3802;;4749;;;;;;;;155;;;;;;;;;;;;398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;417;;122;
43;Hannover-Land I;3;232941;232214;;;176671;175757;;;1658;2251;1530;1764;175013;173506;175141;173993;77509;66311;72286;58219;67440;67178;57922;53236;4504;14560;8725;24492;6220;11173;7931;12601;8735;11642;14308;16993;;;;;2232;;2516;3137;1619;2642;1487;2288;;;1346;1362;;;185;;;;;301;;;;;;;;1139;;;;;;;;;;;213;;;;;;;;;;;;37;46;;;;;;;;;5393;;7038;;252;;;;;;210;;;;;;;;;;1109;;937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179;
44;Celle - Uelzen;3;215285;217316;;;157058;157137;;;1562;1991;1361;1701;155496;155146;155697;155436;75369;68572;68568;55393;53237;50107;46931;42402;2091;11351;6478;22295;5655;10130;7085;11765;9563;10801;12071;14770;;;;;;;2673;2957;1677;2501;1511;2291;;;1173;1130;;;149;;;;;190;;;;;;1684;;2023;;;;;;;;;;;183;;;;;;;;;;;;27;40;;;;;;;;;6591;;7722;;;;;;;;144;;;;;;;;;;1313;;982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
45;Gifhorn - Peine;3;217256;216957;;;161941;161017;;;1788;2012;1473;1822;160153;159005;160468;159195;67368;58827;64451;53085;69259;64365;57875;52292;2266;10073;5648;17875;6810;11663;7575;13314;7666;9476;11855;14217;;;;;3063;;2833;3359;1937;2029;1524;1882;;;1242;1297;;;134;;;;;181;;;;;;1346;;1497;;;;;;;;;850;838;616;;;;;;;;;;;;46;41;;;;;;;;;;;5786;;;;;;;;212;;;;;;;;;;934;;671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;388;;155;
46;Hameln-Pyrmont - Holzminden;3;191980;197394;;;137839;143185;;;2075;2203;1943;1948;135764;140982;135896;141237;53726;49787;50937;41166;57484;55842;49411;47115;2496;10401;5985;19736;6308;11820;7201;12911;8202;10849;11428;13322;;;;;2577;;2152;2571;;2283;1271;1982;;;1031;1285;;;104;;;;;130;;;;;;;;820;;;;;;;;;;;185;;;;;;;;;;;;30;53;;;;;;;;;4971;;5550;;;;;;;;150;;;;;;;;;;;;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;
